country,outcome,outcome_label,mean_Majority,mean_Minority,se_Majority,se_Minority,n_Majority,n_Minority,gap,gap_se,gap_lower,gap_upper,iso3c,majority_religion,majority_share,n_total,pct_minority
Macao SAR China,life_satisfaction,Life satisfaction (1–10),6.560931899641577,6.675889328063241,0.06803968990247716,0.0988476563936122,558,253,0.1149574284216639,0.12000107739739205,-0.12024468327722451,0.3501595401205523,MAC,No_Denomination,68.8423645320197,812,31.157635467980295
Malaysia,happiness,Happiness (1–4),3.0579710144927534,2.987364620938628,0.022181754769173664,0.025070867010747858,759,554,-0.07060639355412546,0.033475044694673134,-0.1362174811556848,-0.004995305952566115,MYS,Muslim,57.8065498857578,1313,42.1934501142422
Malaysia,health,Self-rated health (1–5),3.870882740447958,3.729241877256318,0.02799066830130845,0.03256040924087169,759,554,-0.14164086319164015,0.042937836017746825,-0.22579902178642391,-0.05748270459685638,MYS,Muslim,57.8065498857578,1313,42.1934501142422
Malaysia,life_satisfaction,Life satisfaction (1–10),7.044795783926219,6.913357400722021,0.06414696182693692,0.07296173469618207,759,554,-0.13143838320419743,0.09715064303185317,-0.3218536435466296,0.05897687713823477,MYS,Muslim,57.8065498857578,1313,42.1934501142422
Mexico,happiness,Happiness (1–4),3.4898840584583644,3.599153809999905,0.017795172401962107,0.0419011542841815,1432,223,0.10926975154154084,0.04552334446371812,0.02004399639265332,0.19849550669042837,MEX,Christian,86.38803158987521,1655,13.474320241691842
Mexico,health,Self-rated health (1–5),3.8914924698308595,3.916806781749744,0.021218612266833567,0.057278995958738026,1431,223,0.025314311918884336,0.061082836251858404,-0.09440804713475813,0.14503667097252682,MEX,Christian,86.38803158987521,1655,13.474320241691842
Mexico,life_satisfaction,Life satisfaction (1–10),8.156150046270877,8.121987136206084,0.05497858208518644,0.1403869921600311,1432,223,-0.03416291006479355,0.1507685380171812,-0.3296692445784687,0.2613434244488816,MEX,Christian,86.38803158987521,1655,13.474320241691842
Myanmar (Burma),happiness,Happiness (1–4),3.1939864209505333,3.059171597633136,0.022605925968582907,0.055950268531157955,1031,169,-0.13481482331739736,0.06034451456102481,-0.253090071857006,-0.016539574777788724,MMR,Buddhist,85.91666666666667,1200,14.083333333333334
Myanmar (Burma),health,Self-rated health (1–5),3.7148399612027156,3.7633136094674557,0.03234636970258475,0.08984200121238282,1031,169,0.0484736482647401,0.0954875531929795,-0.13868195599349972,0.23562925252297992,MMR,Buddhist,85.91666666666667,1200,14.083333333333334
Myanmar (Burma),life_satisfaction,Life satisfaction (1–10),7.2327837051406405,7,0.08172869105190837,0.1856140490101553,1031,169,-0.2327837051406405,0.20281063613874548,-0.6302925519725816,0.1647251416913006,MMR,Buddhist,85.91666666666667,1200,14.083333333333334
